Building;IČO;Název;Adresa;
A;25672720;MONETA Money Bank, a.s.;Praha 4, Michle, Vyskočilova 1442/1b;
A;47115289;MONETA Stavební Spořitelna, a.s.;Praha 4, Michle, Vyskočilova 1442/1b;
A;60112743;MONETA Auto, s.r.o.;Praha 4, Michle, Vyskočilova 1442/1b;
A;60751606;MONETA Leasing, s.r.o.;Praha 4, Michle, Vyskočilova 1442/1b;
A;10730443;Nadace MONETA Clementia;Praha 4, Michle, Vyskočilova 1442/1b;
B;175439;G4S Secure Solutions (CZ), a.s.;Praha 4, Michle, Vyskočilova 1422/1a;
B;1558676;G4S Services s.r.o.;Praha 4, Michle, Vyskočilova 1422/1a;
B;25625632;NEWPS.CZ s.r.o.;Praha 4, Michle, Vyskočilova 1422/1a;
B;26427389;Alcon Pharmaceuticals (Czech Republic) s.r.o.;Praha 4, Michle, Vyskočilova 1422/1a;
B;27572030;Anheuser-Busch InBev Czech s.r.o.;Praha 4, Michle, Vyskočilova 1422/1a;
B;2376211;NEWPS HOLDING SE;Praha 4, Michle, Vyskočilova 1422/1a;
B;3136108;NEWPS MARKETING s.r.o.;Praha 4, Michle, Vyskočilova 1422/1a;
B;5205000;INEXAD Fashion s.r.o.;Praha 4, Michle, Vyskočilova 1422/1a;
B;9506489;Coshile & Co., s.r.o.;Praha 4, Michle, Vyskočilova 1422/1a;
D;15887219;Elanor a.s.;Praha 4, Michle, Jemnická 1138/1;
D;2124301;Taxecure s.d.o. v likvidaci;Praha 4, Michle, Jemnická 1138/1;
D;24173495;BM COM s. r. o.;Praha 4, Michle, Jemnická 1138/1;
D;28173589;Elanor Europe SE  ;Praha 4, Michle, Jemnická 1138/1;
D;64949974;Marks and Spencer Czech Republic, a.s.;Praha 4, Michle, Jemnická 1138/1;
;28234910;Marks and Spencer Services s.r.o.;;
D;28888383;ETTEA Solutions, s.r.o.;Praha 4, Michle, Jemnická 1138/1;
D;7898070;ABC Research s.r.o.;Praha 4, Michle, Jemnická 1138/1;
D;9050329;PERFECT CANTEEN s.r.o.;Praha 4, Michle, Jemnická 1138/1;
D;9610383;Český Gastronomický Institut z.s./Food n Beverage Foundation Czech z.s.;Praha 4, Michle, Jemnická 1138/1;
D;10988157;Český Gastronomický Institut servisní s.r.o./Food n Beverage Foundation Czech z.s.;Praha 4, Michle, Jemnická 1138/1;
G;24663913;Royal Canin Czech & Slovak Republics s.r.o.;Praha 4, Michle, Michelská 1552/58;
G;25257552;SurTec ČR s.r.o.;Praha 4, Michle, Michelská 1552/58;
G;25588389;Klüber Lubrication CZ, s.r.o.;Praha 4, Michle, Michelská 1552/58;
G;26153882;EXPRESS DELI s.r.o.;Praha 4, Michle, Michelská 1552/58;
G;27161013;SmartWave s.r.o. v konkurzu;Praha 4, Michle, Michelská 1552/58;
G;27899624;SII s.r.o.;Praha 4, Michle, Michelská 1552/58;
G;28444914;Mars Czech s.r.o.;Praha 4, Michle, Michelská 1552/58;
G;9780564;Chem-Trend CZ s.r.o.;Praha 4, Michle, Michelská 1552/58;
G;17394333;SII services s.r.o.;Praha 4, Michle, Michelská 1552/58;
Alpha;15270076;DKV EURO SERVICE s.r.o.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;18628443;Cebia, spol. s r.o.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;24139769;CSL BEHRING s.r.o.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;24681288;Neoware s.r.o.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;26149753;Multiprojekt - Czech Consulting a.s.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;28211464;Multiprojekt - Gama a.s.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;28211511;Multiprojekt - Delta a.s.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;29053285;FREQUENTIS Czech Republic s.r.o.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;40612244;GORENJE spol.s r.o.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;48109193;XEROX CZECH REPUBLIC s.r.o.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;49615157;Gorenje - real, spol. s r.o.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;63669331;GORENJE - kuchyně spol. s r.o.;Praha 4, Michle, Vyskočilova 1461/2a;
Alpha;5206201;Techona s.r.o., v likvidaci;Praha 4, Michle, Vyskočilova 1461/2a;
Beta;18631584;Český svaz zaměstnavatelů v energetice;Praha 4, Michle, Vyskočilova 1481/4;
Beta;25101943;UNIPROG servis s.r.o.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;25160621;Sysklass CZ s.r.o.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;26175401;SV Pro-finance, spol. s r.o.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;26458802;Puma Czech Republic s.r.o.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;28928334;Shetland s.r.o. v likvidaci;Praha 4, Michle, Vyskočilova 1481/4;
Beta;29004781;TIMKEN POLSKA Sp. z o.o., Zastoupení v České republice;Praha 4, Michle, Vyskočilova 1481/4;
Beta;44965117;Savencia Fromage & Dairy Czech Republic, a.s.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;60792213;Akzo Nobel Coatings CZ, a.s.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;61858714;SV pojišťovna a.s. (dříve ERGO pojišťovna);Praha 4, Michle, Vyskočilova 1481/4;
Beta;64944905;Goodyear Czech s.r.o.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;1838989;Accalio s.r.o.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;3450872;D.A.S. Rechtsschutz AG, pobočka pro ČR;Praha 4, Michle, Vyskočilova 1481/4;
Beta;5561124;Rocket Fuel Czech Services s.r.o.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;7320744;PUMA Europe GmbH, odštěpný závod Česká republika;Praha 4, Michle, Vyskočilova 1481/4;
Beta;7834004;SAVENCIA SERVICES EUROPE a.s.;Praha 4, Michle, Vyskočilova 1481/4;
Beta;10935053;Anodius.ai, s.r.o.;Praha 4, Michle, Vyskočilova 1481/4;
Delta I;17048851;HEWLETT-PACKARD s.r.o.;Praha 4, Michle, Za Brumlovkou 1559/5;
Delta I;25094670;UNIPROG SOLUTIONS, a.s.;Praha 4, Michle, Za Brumlovkou 1559/5;
Delta I;40766314;T-SOFT a.s.;Praha 4, Michle, Za Brumlovkou 1559/5;
Delta I;62576534;Novell-Praha, s.r.o.;Praha 4, Michle, Za Brumlovkou 1559/5;
Delta I;3208427;HP Inc Czech Republic s.r.o.;Praha 4, Michle, Za Brumlovkou 1559/5;
Delta I;5497485;Micro Focus Czechia s.r.o.;Praha 4, Michle, Za Brumlovkou 1559/5;
Delta I;5530202;Cognexa Solutions s.r.o.;Praha 4, Michle, Za Brumlovkou 1559/5;
Delta I;7357991;Nadační fond pro reformu školství;Praha 4, Michle, Za Brumlovkou 1559/5;
Delta I;17184690;Rodinný nadační fond PF 2050;Praha 4, Michle, Za Brumlovkou 1559/5;
Delta II;27625559;Skype Czech Republic s.r.o.;Praha 4, Michle, Vyskočilova 1561/4a;
Delta II;47123737;MICROSOFT s.r.o.;Praha 4, Michle, Vyskočilova 1561/4a;
Delta II;49682563;ABB s.r.o.;Praha 4, Michle, Vyskočilova 1561/4a;
Delta II;4693817;Trend Micro (EMEA) Limited, odštěpný závod;Praha 4, Michle, Vyskočilova 1561/4a;
Filadelfie;15272028;UniCredit Factoring Czech Republic and Slovakia, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;15886492;UniCredit Leasing CZ, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;24782301;JK Jitka Kudlackova Jewels s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;25687247;PRIVATE PROPERTY INVESTMENT, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;25708376;ALLIB Leasing s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;25711938;UniCredit pojišťovací makléřská spol. s r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;25714538;CA-Leasing OVUS s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;25722328;RCI Financial Services, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;26118963;PASSERINVEST GROUP, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;26731703;Omega Brumlovka, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;27080951;BB C - SERVICES,s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;27178676;SAN CHEN s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;27384110;Audatex Systems s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;27410358;BB C - Nové E, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;27429504;UniCredit Services S.C.p.A. organizační složka;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;27445810;Balance Club Brumlovka, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;27452751;Office Park Roztyly, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;27699161;asecure s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;27899021;W - PROJECT s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28162889;Hila Brumlovka, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28196635;Roztyly Garden - Lily House, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28198212;PASSERINVEST BBC 1, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28198727;FLEKSI prostor, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28199278;BB C Orion, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28199481;S-INVESTMENT, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28199588;RPB II., a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28199910;Roztyly Plaza, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28200250;Roztyly Garden - Sunflower House, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28200284;RPB Leasing, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28200438;S-LEASING, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;28200578;PST - Project A, a.s.;Praha 4, Michle, Želetavská 1525/1;
